Depart;Arriver;Cost
1;2;0.957118353
1;3;0.945328319
1;4;0.917725348
1;5;0.958309537
1;6;0.958357432
1;7;0.959405374
1;8;0.947976879
1;9;0.953147456
1;10;0.944315545
1;11;0.951506456
1;12;0.951751867
1;13;0.947986577
1;14;0.953646128
1;15;0.958553547
1;16;0.950574713
1;17;0.956820132
1;18;0.956820132
1;19;0.956248213
1;20;0.949094047
1;21;0.949359721
1;22;0.957795004
1;23;0.94309425
1;24;0.946185689
1;25;0.946749044
1;26;0.94635254
1;27;0.96527977
1;28;0.949570201
1;29;0.946556159
1;30;0.952543336
1;31;0.950656934
1;32;0.957934436
1;33;0.949074074
1;34;0.970857143
1;35;0.954532291
2;3;0.984452919
2;4;0.930018416
2;5;0.998262884
2;6;0.976539589
2;7;0.942028986
2;8;0.981828839
2;9;0.988050131
2;10;0.978823529
2;11;0.988652895
2;12;0.987769365
2;13;0.954648526
2;14;0.966762178
2;15;0.952917959
2;16;0.98951049
2;17;0.999710061
2;18;0.999710061
2;19;0.999130183
2;20;0.990376203
2;21;0.97107438
2;22;0.973508006
2;23;0.957306073
2;24;0.959208158
2;25;0.963294539
2;26;0.966906475
2;27;0.980506255
2;28;0.989540965
2;29;0.961460446
2;30;0.986459234
2;31;0.968907314
2;32;0.969108561
2;33;0.976525822
2;34;0.960023175
2;35;0.956828194
3;4;0.926950575
3;5;0.983885145
3;6;0.972989018
3;7;0.933411558
3;8;0.978938001
3;9;0.982890855
3;10;0.977076511
3;11;0.985276796
3;12;0.981432361
3;13;0.947519358
3;14;0.959698463
3;15;0.945236737
3;16;0.990268357
3;17;0.98415493
3;18;0.98415493
3;19;0.984741784
3;20;0.994096812
3;21;0.968628623
3;22;0.971125516
3;23;0.955251142
3;24;0.957181901
3;25;0.960725076
3;26;0.956319161
3;27;0.972320377
3;28;0.989708909
3;29;0.959530792
3;30;0.977842566
3;31;0.974220624
3;32;0.966051221
3;33;0.975942976
3;34;0.951040751
3;35;0.947681332
4;5;0.928877989
4;6;0.9384711
4;7;0.909146716
4;8;0.940372671
4;9;0.933621488
4;10;0.943266833
4;11;0.933127889
4;12;0.93337446
4;13;0.902278177
4;14;0.912674348
4;15;0.900149031
4;16;0.932098765
4;17;0.929689899
4;18;0.929689899
4;19;0.929075837
4;20;0.931726908
4;21;0.941802253
4;22;0.923219241
4;23;0.942565412
4;24;0.939528962
4;25;0.95093384
4;26;0.910752361
4;27;0.933744222
4;28;0.931076923
4;29;0.934642528
