Depart;Arriver;Cost
1;12;0.846642511
1;22;0.815500069
1;29;0.881435253
1;31;0.861872564
2;3;0.882369814
3;20;0.836009129
5;9;0.809301903
5;11;0.815801559
5;14;0.843581385
5;15;0.885313824
6;8;0.824900266
6;10;0.872093003
6;21;0.845794976
6;33;0.835237696
8;10;0.912932735
8;33;0.902322915
9;11;0.944216436
9;15;0.850380953
10;33;0.907010417
11;14;0.81102525
11;15;0.858949572
12;29;0.814120232
12;31;0.843959156
13;14;0.802558231
13;16;0.8330568
13;36;0.8330568
14;15;0.928621465
16;36;1
17;20;0.805235671
18;19;0.875792401
20;28;0.831581079
20;30;0.869201257
21;32;0.84493857
21;34;0.829807151
24;32;0.814054765
24;34;0.827044955
26;27;0.915303219
28;30;0.944414079
32;34;0.862546754
