Depart;Arriver;Cost
1;2;0.917763158
1;3;0.896324739
1;4;0.847959754
1;5;0.91995614
1;6;0.92004442
1;7;0.921978022
1;8;0.901098901
1;9;0.910488742
1;10;0.894505495
1;11;0.907498632
1;12;0.907945205
1;13;0.901116427
1;14;0.911399244
1;15;0.920405983
1;16;0.905805038
1;17;0.917214912
1;18;0.917214912
1;19;0.916164384
1;20;0.903119869
1;21;0.903601108
1;22;0.919008264
1;23;0.892316321
1;24;0.897867565
1;25;0.898882682
1;26;0.898168103
1;27;0.932889628
1;28;0.903982542
1;29;0.898534997
1;30;0.909386869
1;31;0.905954368
1;32;0.919265033
1;33;0.9030837
1;34;0.943364797
1;35;0.913019391
2;3;0.96938186
2;4;0.86919105
2;5;0.996531792
2;6;0.954154728
2;7;0.890410959
2;8;0.964306275
2;9;0.976382488
2;10;0.958525346
2;11;0.977560414
2;12;0.975834292
2;13;0.913232104
2;14;0.935662784
2;15;0.910070005
2;16;0.979238754
2;17;0.99942029
2;18;0.99942029
2;19;0.998261877
2;20;0.980935875
2;21;0.9437751
2;22;0.948383437
2;23;0.91810842
2;24;0.921613833
2;25;0.929188256
2;26;0.935933148
2;27;0.961757991
2;28;0.979298447
2;29;0.92578125
2;30;0.973280273
2;31;0.939689833
2;32;0.940068493
2;33;0.95412844
2;34;0.923119777
2;35;0.91722973
3;4;0.863847045
3;5;0.96828143
3;6;0.947398844
3;7;0.875137514
3;8;0.958744916
3;9;0.966357309
3;10;0.955180442
3;11;0.970980847
3;12;0.963541667
3;13;0.90027248
3;14;0.922519509
3;15;0.896160087
3;16;0.980724299
3;17;0.968804159
3;18;0.968804159
3;19;0.969942197
3;20;0.988262911
3;21;0.939165701
3;22;0.943871707
3;23;0.914335664
3;24;0.917880023
3;25;0.924418605
3;26;0.916294643
3;27;0.946131805
3;28;0.979627474
3;29;0.922209696
3;30;0.95664575
3;31;0.949736996
3;32;0.934331797
3;33;0.953016241
3;34;0.906651761
3;35;0.900564972
4;5;0.867200916
4;6;0.884074941
4;7;0.833427124
4;8;0.887456038
4;9;0.875506659
4;10;0.892625369
4;11;0.874638937
4;12;0.875072296
4;13;0.821955216
4;14;0.839375349
4;15;0.818428184
4;16;0.87283237
4;17;0.868617326
4;18;0.868617326
4;19;0.867545872
4;20;0.872180451
4;21;0.890005914
4;22;0.857388316
4;23;0.891369946
4;24;0.885954382
4;25;0.906457453
4;26;0.836129754
4;27;0.875722543
4;28;0.871042026
4;29;0.877304147
4;30;0.862010221
4;31;0.877948113
4;32;0.904394299
4;33;0.871944121
4;34;0.868194842
4;35;0.896694215
5;6;0.95532646
5;7;0.89260274
5;8;0.964347326
5;9;0.975273145
5;10;0.957446809
5;11;0.975315729
5;12;0.976998275
5;13;0.915401302
5;14;0.934662237
5;15;0.909139785
5;16;0.980403458
5;17;0.995953757
5;18;0.995953757
5;19;0.994800693
5;20;0.978674352
5;21;0.944954128
5;22;0.950652297
5;23;0.920415225
5;24;0.923919308
5;25;0.929269695
5;26;0.937082405
5;27;0.961801596
5;28;0.977051061
5;29;0.926938093
5;30;0.971072036
5;31;0.941987364
5;32;0.942351598
5;33;0.95530086
5;34;0.924276169
5;35;0.917322835
6;7;0.897607123
6;8;0.963890507
6;9;0.962384259
6;10;0.956901573
6;11;0.961316397
6;12;0.961849711
6;13;0.906010929
6;14;0.920935412
6;15;0.89362851
6;16;0.960693642
6;17;0.953581662
6;18;0.953581662
6;19;0.952462772
6;20;0.955568379
6;21;0.963636364
6;22;0.959030583
6;23;0.938643068
6;24;0.941072481
6;25;0.960331557
6;26;0.928691746
6;27;0.957925072
6;28;0.960806916
6;29;0.943589744
6;30;0.941709111
6;31;0.948044367
6;32;0.954043048
