Depart;Arriver;Cost
2;3;0.914661255
2;4;0.92990272
2;5;0.816025073
2;6;0.967658185
2;7;0.824841007
2;8;0.871429123
2;9;0.933255654
2;10;0.877960157
2;39;0.816111996
2;77;0.836545817
2;78;0.827445745
2;79;0.928121858
2;81;0.834341309
2;82;0.909689057
2;97;0.800050488
3;4;0.85483348
3;6;0.924673548
3;7;0.901754764
3;8;0.801838557
3;9;0.857957344
3;10;0.807874437
3;39;0.873327804
3;77;0.903274938
3;79;0.882833436
3;82;0.858154156
4;5;0.876156334
4;6;0.919895366
4;8;0.936990001
4;9;0.995698846
4;10;0.943587061
4;78;0.862310669
4;79;0.900023372
4;81;0.869244347
4;82;0.929639161
4;97;0.804670114
5;6;0.806751578
5;8;0.930813705
5;9;0.873159949
5;10;0.92403634
5;78;0.916112215
5;79;0.804882854
5;81;0.916333716
5;82;0.855856228
6;7;0.838161634
6;8;0.865900404
6;9;0.922903736
6;10;0.872335535
6;39;0.818293798
6;77;0.837968741
6;78;0.812866653
6;79;0.903363162
6;81;0.81947353
6;82;0.89090672
7;39;0.883647287
7;44;0.809401726
7;75;0.864542689
7;77;0.913255557
7;79;0.81749991
8;9;0.933688064
8;10;0.991481144
8;78;0.887123198
8;79;0.856546051
8;81;0.893361478
8;82;0.899368018
9;10;0.9406605
9;78;0.85962624
9;79;0.901822942
9;81;0.866554035
9;82;0.928521562
9;97;0.80422357
10;78;0.881195765
10;79;0.861545653
10;81;0.88747873
10;82;0.901372814
11;17;0.809879637
11;36;0.818308079
11;37;0.846812898
11;54;0.819169578
11;61;0.821203671
11;71;0.844458964
11;101;0.818111143
11;110;0.837493042
12;14;0.847612222
12;15;0.859745773
12;120;0.852077594
12;121;0.870352476
12;123;0.85332164
13;49;0.846137821
14;24;0.893014399
14;120;0.891847742
14;123;0.884040573
15;16;0.841361067
15;25;0.807394319
15;47;0.865738744
15;76;0.846108231
15;118;0.821441278
15;121;0.903871636
15;123;0.802895958
16;25;0.807025293
16;40;0.8276904
16;47;0.834723068
16;118;0.860075026
17;18;0.801594844
17;37;0.830098597
17;52;0.826227222
17;54;0.854811468
17;56;0.864425229
17;61;0.868089227
17;63;0.808663488
17;71;0.875443324
17;101;0.90625528
17;108;0.801154772
17;110;0.933121457
17;111;0.808486054
17;112;0.81200664
18;22;0.838934851
18;23;0.951152438
18;55;0.865504791
18;56;0.806234433
18;60;0.885923565
18;62;0.874039393
18;71;0.803923966
18;73;0.886066699
18;74;0.826090381
18;101;0.816096593
18;109;0.891012032
18;110;0.814009422
18;112;0.915177686
18;114;0.817678681
18;119;0.800183697
19;45;0.811770297
19;51;0.822733081
19;53;0.821897823
19;57;0.833758928
19;67;0.847936251
19;68;0.870340854
19;72;0.856379744
19;85;0.856308079
19;86;0.849696245
19;87;0.915527912
19;88;0.848829033
19;89;0.891360069
19;90;0.919311885
19;91;0.847208292
19;93;0.890131786
19;95;0.852728851
19;99;0.834059245
19;100;0.817838576
19;103;0.830686243
19;104;0.820127122
19;107;0.855112805
19;116;0.80382049
20;22;0.915452195
20;44;0.813487739
20;64;0.886056918
20;70;0.828811555
20;73;0.823069649
20;74;0.884747267
20;109;0.808492036
20;119;0.873799849
21;38;0.843338877
21;45;0.865520315
21;51;0.813813381
21;52;0.803093674
21;53;0.810183259
21;57;0.920158054
21;58;0.920936607
21;59;0.923514355
21;63;0.856572902
21;65;0.920936607
21;66;0.82452149
21;67;0.846978333
21;72;0.867001178
21;80;0.867484681
21;84;0.868149901
21;85;0.879777797
21;88;0.888999498
21;91;0.890899578
21;92;0.875216218
21;93;0.80633689
21;94;0.936428583
21;95;0.881902223
21;99;0.832089336
21;107;0.812766265
21;108;0.862248555
21;111;0.862468073
21;116;0.815900796
22;23;0.842840592
22;60;0.817544504
22;64;0.894293052
22;70;0.847705217
22;73;0.878522799
22;74;0.923338829
22;109;0.87018596
22;119;0.903176094
23;55;0.884287957
23;56;0.800396773
23;60;0.908450645
23;62;0.876919614
23;64;0.809092136
23;71;0.803772086
23;73;0.907415432
23;74;0.838228002
23;101;0.803119468
23;109;0.907307437
23;112;0.895127698
23;114;0.854543315
23;119;0.814418115
24;120;0.853728296
24;123;0.846882134
25;118;0.873522519
25;121;0.802356537
27;28;0.891856032
27;29;0.805147838
27;31;0.964275249
27;32;0.92184645
27;33;0.92184645
27;34;0.863011718
27;35;0.814930243
27;89;0.815790217
27;93;0.809271141
27;116;0.840205961
28;29;0.902281542
28;30;0.892174028
28;31;0.86478584
28;32;0.958224113
28;33;0.958224113
28;34;0.824808268
28;35;0.847099626
28;57;0.801909466
28;84;0.842938736
28;85;0.805445485
28;88;0.805716462
28;89;0.800195654
28;91;0.804623782
28;93;0.801706637
28;95;0.806061473
28;108;0.8032604
28;116;0.832898985
29;30;0.983096572
29;32;0.870978142
29;33;0.870978142
29;35;0.810502293
29;54;0.831369882
29;84;0.825961912
29;94;0.816374052
29;108;0.844095948
29;111;0.833592759
30;32;0.858960518
30;33;0.858960518
30;35;0.803135069
30;36;0.800024835
30;54;0.838744271
30;84;0.820975821
30;94;0.814768729
30;108;0.851258591
30;111;0.840597425
31;32;0.897873492
31;33;0.897873492
31;34;0.863446639
31;116;0.825618083
32;33;1
32;34;0.849636035
32;35;0.854752752
32;84;0.81768041
32;89;0.804977282
32;93;0.803537624
32;116;0.840106947
33;34;0.849636035
33;35;0.854752752
33;84;0.81768041
33;89;0.804977282
33;93;0.803537624
33;116;0.840106947
34;35;0.891619278
36;37;0.843411139
36;41;0.811924783
36;42;0.811924783
36;54;0.855928045
36;108;0.805208402
37;110;0.830444322
38;45;0.857421858
38;51;0.82719414
38;53;0.827749175
38;57;0.85509265
38;58;0.828843463
38;59;0.848434522
38;65;0.828843463
38;66;0.811239074
38;67;0.820084521
38;72;0.800952416
38;85;0.835914785
38;88;0.839472636
38;89;0.809258405
38;91;0.839331238
38;93;0.811597064
38;94;0.844751745
38;95;0.835509391
38;99;0.835232305
38;107;0.829289729
39;44;0.820480536
39;75;0.879294306
39;77;0.949740628
39;79;0.826350248
40;118;0.827940826
41;42;1
44;70;0.80603274
44;75;0.921064416
44;77;0.808997907
45;51;0.838839646
45;53;0.836269554
45;57;0.908200693
45;58;0.835925621
45;59;0.838434543
45;65;0.835925621
45;67;0.896562361
45;68;0.834566198
45;72;0.888548516
45;80;0.831840781
45;84;0.807847413
45;85;0.892279905
45;87;0.826619791
45;88;0.896586664
45;89;0.837211539
45;90;0.820060638
45;91;0.898323368
45;92;0.800294464
45;93;0.84509322
45;94;0.879922834
45;95;0.89129775
45;99;0.903101306
45;100;0.863017104
45;107;0.883470777
45;116;0.800990317
47;76;0.908760273
47;121;0.80005829
48;115;0.817421116
50;69;0.811087099
50;115;0.805886563
51;53;0.99358083
51;57;0.870927655
51;67;0.825668059
51;68;0.803305742
51;72;0.843179668
51;85;0.884503693
51;86;0.810999016
51;87;0.857043456
51;88;0.880607374
51;89;0.904256245
51;90;0.853963098
51;91;0.879809061
51;93;0.912600004
51;94;0.829907401
51;95;0.882698399
51;99;0.86340579
51;100;0.822793444
51;103;0.808007097
51;107;0.86841141
51;116;0.804399666
52;54;0.852899054
52;56;0.811831319
52;58;0.836231022
52;59;0.831524483
52;61;0.81159058
52;63;0.879516963
52;65;0.836231022
52;66;0.877988215
52;92;0.866784994
52;94;0.817149958
52;105;0.827419582
52;108;0.825012998
52;110;0.801203123
52;111;0.830700464
53;57;0.867540677
53;67;0.824025487
53;68;0.802713482
53;72;0.841284028
53;85;0.881858561
53;86;0.815370518
53;87;0.856758134
53;88;0.878076699
53;89;0.908581152
53;90;0.853735523
53;91;0.877221305
53;93;0.913036517
53;94;0.826177888
53;95;0.880225847
53;99;0.861621995
53;100;0.821434072
53;103;0.811862522
53;104;0.803570415
53;107;0.866890415
53;116;0.80256464
54;58;0.809291356
54;59;0.811357216
54;63;0.854710779
54;65;0.809291356
54;66;0.816893784
54;71;0.841773964
54;84;0.807946544
54;92;0.850305705
54;101;0.820073787
54;108;0.872834696
54;110;0.847605559
54;111;0.881337241
55;56;0.893470968
55;60;0.918361503
55;61;0.855612322
55;62;0.978582109
55;71;0.8156618
55;73;0.821627518
55;101;0.812739551
55;109;0.811098186
55;112;0.858293968
55;114;0.907015924
56;60;0.830206843
56;61;0.921965572
56;62;0.892870696
56;63;0.807809224
56;71;0.860569498
56;101;0.874548151
56;105;0.800166471
56;110;0.863097399
56;112;0.821454449
56;114;0.837283126
57;58;0.880267733
57;59;0.877631544
57;63;0.812410896
57;65;0.880267733
57;67;0.892338549
57;68;0.837846385
57;72;0.897427158
57;80;0.849108936
57;84;0.845414705
57;85;0.938548254
57;87;0.851033781
57;88;0.947441555
57;89;0.855686508
57;90;0.843783535
57;91;0.949225984
57;92;0.82519422
57;93;0.86284142
57;94;0.913193376
57;95;0.939164412
57;99;0.88572836
57;100;0.839999041
57;107;0.866811015
57;108;0.819161031
57;111;0.811730239
57;116;0.839961994
58;59;0.973976882
58;63;0.906715718
58;65;1
58;66;0.883588622
58;67;0.822211903
58;72;0.833946648
58;80;0.887812216
58;84;0.846769131
58;85;0.845335367
58;88;0.853996321
58;91;0.855326208
58;92;0.924610762
58;94;0.919133193
58;95;0.846950939
58;105;0.844886681
58;108;0.855458942
58;111;0.87024906
59;63;0.90366085
59;65;0.973976882
59;66;0.884087129
59;67;0.818367278
59;72;0.82812206
59;80;0.878249109
59;84;0.842952079
59;85;0.84173753
59;88;0.850426472
59;91;0.851904809
59;92;0.912919179
59;94;0.917651838
59;95;0.843584977
59;105;0.840690128
59;108;0.855059494
59;111;0.864274427
60;61;0.807006041
60;62;0.915047382
60;64;0.849493703
60;73;0.882229995
60;74;0.819057433
60;109;0.870575965
60;112;0.850672246
60;114;0.881483176
60;119;0.842530239
61;62;0.858935717
61;63;0.834517633
61;66;0.809517336
61;71;0.887551941
61;92;0.800919151
61;101;0.884115922
61;105;0.823498053
61;110;0.874068108
61;114;0.827255724
62;71;0.813660438
62;73;0.820475797
62;101;0.811620585
62;109;0.809783195
62;112;0.867073214
62;114;0.896092751
63;65;0.906715718
63;66;0.925194856
63;80;0.824151929
63;92;0.944469624
63;94;0.855605682
63;105;0.88501111
63;108;0.850566751
63;111;0.862659915
64;70;0.803090942
64;73;0.829475755
64;74;0.868648874
64;109;0.830366884
64;119;0.949698596
65;66;0.883588622
65;67;0.822211903
65;72;0.833946648
65;80;0.887812216
65;84;0.846769131
65;85;0.845335367
65;88;0.853996321
65;91;0.855326208
65;92;0.924610762
65;94;0.919133193
65;95;0.846950939
65;105;0.844886681
65;108;0.855458942
65;111;0.87024906
66;80;0.805354815
66;92;0.898325427
66;94;0.825556857
66;105;0.895789998
66;108;0.800678119
66;111;0.812448077
67;68;0.920591697
67;72;0.908872892
67;80;0.811904884
67;84;0.806317316
67;85;0.895746746
67;87;0.87405462
67;88;0.895203304
67;89;0.848818388
67;90;0.865587742
67;91;0.895684196
67;93;0.856317672
67;94;0.837258782
67;95;0.89269547
67;99;0.913743703
67;100;0.885790473
67;103;0.812302188
67;104;0.800268581
67;107;0.906832598
67;116;0.81864053
68;72;0.867618069
68;83;0.823117257
68;85;0.856935669
68;86;0.837339985
68;87;0.894894909
68;88;0.850539926
68;89;0.852775545
68;90;0.890368908
68;91;0.848902643
68;93;0.856023342
68;95;0.853166231
68;99;0.868974513
68;100;0.868408172
68;103;0.861516335
68;104;0.850533806
68;107;0.872649655
68;116;0.809053434
70;73;0.833181808
70;74;0.874460869
70;119;0.806601821
71;101;0.936019301
71;110;0.909262976
71;112;0.818954851
72;80;0.836429256
72;84;0.835429427
72;85;0.913195141
72;86;0.803198941
72;87;0.889968064
72;88;0.912433216
72;89;0.879134989
72;90;0.882467258
72;91;0.912955787
72;93;0.886896279
72;94;0.867990074
72;95;0.910356704
72;99;0.866559479
72;100;0.852194155
72;107;0.857122406
72;116;0.86436315
73;74;0.915526875
73;109;0.901717676
73;112;0.841065584
73;114;0.824743688
73;119;0.833044686
74;109;0.86735007
74;119;0.873015657
75;77;0.86785256
77;79;0.846064255
78;79;0.830357641
78;81;0.990372189
78;82;0.881008246
79;81;0.837363033
79;82;0.939331168
79;97;0.848539863
80;84;0.857926548
80;85;0.840321528
80;88;0.847791707
80;91;0.849122981
80;92;0.850165188
80;94;0.861439037
80;95;0.842288006
81;82;0.888465722
81;97;0.804628062
82;97;0.847584075
83;86;0.819405581
83;89;0.822320822
83;93;0.817625155
83;98;0.894228813
83;99;0.828844889
83;100;0.818821652
83;102;0.914009066
83;103;0.895533819
83;104;0.895110465
83;106;0.888603739
83;107;0.850093346
84;85;0.84671111
84;88;0.853171311
84;91;0.85449824
84;92;0.827837555
84;94;0.863117302
84;95;0.847855843
84;108;0.860164867
84;111;0.86348911
84;116;0.879557071
85;86;0.805755594
85;87;0.896697532
85;88;0.987882384
85;89;0.891426174
85;90;0.88863608
85;91;0.985161428
85;92;0.811584039
85;93;0.898830634
85;94;0.893609582
85;95;0.991561868
85;99;0.880789528
85;100;0.853435886
85;107;0.864179577
85;116;0.880284682
86;87;0.878392589
86;89;0.883001498
86;90;0.884326863
86;93;0.874259914
86;95;0.803079012
86;98;0.817333269
86;103;0.849847826
86;104;0.861338908
86;106;0.811483029
86;107;0.803838281
87;88;0.887539824
87;89;0.92487054
87;90;0.988593222
87;91;0.885400668
87;93;0.925491771
87;94;0.801839342
87;95;0.89259904
87;99;0.848427054
87;100;0.834603379
87;103;0.821258963
87;104;0.813387794
87;107;0.858917821
87;116;0.857563629
88;89;0.88270202
88;90;0.879436533
88;91;0.996215545
88;92;0.82013959
88;93;0.889910305
88;94;0.902862259
88;95;0.989146369
88;99;0.875198056
88;100;0.846871699
88;107;0.858230774
88;116;0.877927034
89;90;0.924329441
89;91;0.881234071
89;93;0.987814837
89;94;0.814576378
89;95;0.888590389
89;99;0.862598814
89;100;0.840270831
89;102;0.808803701
89;103;0.854516576
89;104;0.844739447
89;107;0.881748058
89;116;0.835989316
90;91;0.877694453
90;93;0.923079055
90;95;0.887244933
90;99;0.841317595
90;100;0.828464562
90;103;0.823892905
90;104;0.81629017
90;107;0.856423771
90;116;0.852735006
91;92;0.821350874
91;93;0.88837621
91;94;0.904791214
91;95;0.987283004
91;99;0.874105642
91;100;0.845614165
91;107;0.857148989
91;116;0.877514655
92;94;0.889512936
92;95;0.81333616
92;105;0.867386875
92;108;0.86140179
92;111;0.874496001
93;94;0.820439744
93;95;0.894694022
93;99;0.869355954
93;100;0.845842982
93;102;0.806627325
93;103;0.848868424
93;104;0.838890875
93;107;0.88777422
93;116;0.83963419
94;95;0.896105709
94;99;0.829279749
94;107;0.810722822
94;108;0.874152245
94;111;0.863810989
94;116;0.82375117
95;99;0.879002854
95;100;0.851220221
95;107;0.861822094
95;116;0.88025119
98;102;0.834312726
98;103;0.861723194
98;104;0.881837484
98;106;0.982621658
99;100;0.910328085
99;102;0.825206194
99;103;0.85336189
99;104;0.838231864
99;107;0.969685435
100;102;0.82584007
100;103;0.87549378
100;104;0.850908574
100;107;0.909388381
101;110;0.94857347
101;112;0.833122398
102;103;0.837944818
102;104;0.841283198
102;106;0.831454919
102;107;0.847460525
103;104;0.95768675
103;106;0.872878385
103;107;0.874808755
104;106;0.874533072
104;107;0.858998353
108;111;0.976830167
108;116;0.804078628
109;112;0.878674117
109;114;0.817754466
109;119;0.832419825
110;112;0.831363052
112;114;0.818147054
118;121;0.805914157
120;121;0.827213982
120;123;0.975865317
121;123;0.834142835
7;70;0.984696881
7;71;0.982931136
7;72;0.981355431
7;73;0.979568009
7;74;0.979245835
7;75;0.987994143
7;76;0.940454266
7;77;0.987096774
7;78;0.985397196
7;79;0.985388662
7;80;0.979833926
7;81;0.985685072
7;82;0.985981308
7;83;0.953265602
7;84;0.981710914
7;85;0.980774919
7;86;0.97620464
7;87;0.978950489
7;88;0.98048492
7;89;0.976854599
7;90;0.975914362
7;91;0.981700118
7;92;0.982300885
7;93;0.980171648
7;94;0.979603902
7;95;0.979265403
7;96;0.989355411
7;97;0.983856765
7;98;0.941210542
7;99;0.948280844
7;100;0.931609195
7;101;0.947642465
7;102;0.954026354
7;103;0.932300631
7;104;0.937915103
7;105;0.948364888
7;106;0.941756013
7;107;0.948310713
7;108;0.958101377
7;109;0.93955095
7;110;0.947795824
7;111;0.955938138
7;112;0.944959444
7;113;0.956034228
7;114;0.976364167
7;115;0.968759298
7;116;0.974799881
7;117;0.988546256
7;118;0.94345421
7;119;0.974769961
7;120;0.953523238
7;121;0.948385149
7;122;0.954320628
7;123;0.956521739
8;9;0.998527246
8;10;0.999705276
8;11;0.988444444
8;12;0.950819672
8;13;0.920087747
8;14;0.956836704
8;15;0.950501063
8;16;0.937922557
8;17;0.955659277
8;18;0.960185992
8;19;0.979531296
8;20;0.962920046
8;21;0.954176334
8;22;0.960812772
8;23;0.958442313
8;24;0.95992823
8;25;0.942577886
8;26;0.981892523
8;27;0.972606775
8;28;0.973861968
8;29;0.974178404
8;30;0.975638392
8;31;0.96953564
8;32;0.971159506
8;33;0.971159506
8;34;0.966371681
8;35;0.968141593
8;36;0.971057295
8;37;0.976730486
8;38;0.979579757
8;39;0.988214496
8;40;0.927662217
8;41;0.964622642
8;42;0.964622642
8;43;0.969393761
8;44;0.982662357
8;45;0.974829731
8;46;0.941646192
8;47;0.943765281
8;48;0.956600362
8;49;0.90121873
8;50;0.961492891
8;51;0.963363363
8;52;0.955365061
8;53;0.96429643
8;54;0.970753323
8;55;0.960835509
8;56;0.961046512
8;57;0.960767219
8;58;0.962362478
8;59;0.962898551
8;60;0.965237543
8;61;0.966253245
8;62;0.963478261
8;63;0.965876229
8;64;0.966473988
8;65;0.962362478
8;66;0.961204401
8;67;0.961929672
8;68;0.959392346
8;69;0.968515742
8;70;0.98409894
8;71;0.980565371
8;72;0.979567664
8;73;0.977219626
8;74;0.976893829
8;75;0.986815119
8;76;0.93980344
8;77;0.986502347
8;78;0.986557569
8;79;0.985964912
8;80;0.978635015
8;81;0.986845951
8;82;0.986557569
8;83;0.9509149
8;84;0.979338843
8;85;0.978395975
8;86;0.973809524
8;87;0.976564818
8;88;0.978106509
8;89;0.974465558
8;90;0.973519786
8;91;0.979326639
8;92;0.979929162
8;93;0.977790939
8;94;0.977225673
8;95;0.976882039
8;96;0.989940828
8;97;0.983847283
8;98;0.938858302
8;99;0.945938132
8;100;0.930419781
8;101;0.945296671
8;102;0.95224143
8;103;0.929965557
8;104;0.936145623
8;105;0.946039036
8;106;0.939402725
8;107;0.945969373
8;108;0.955731457
8;109;0.937788018
8;110;0.945443993
8;111;0.953576642
8;112;0.943188406
8;113;0.953646295
8;114;0.97459854
8;115;0.966359035
8;116;0.972411747
8;117;0.990890391
8;118;0.942804428
8;119;0.972378972
8;120;0.95169517
8;121;0.947145877
8;122;0.95371179
8;123;0.95529553
9;10;0.998233216
9;11;0.987566607
9;12;0.95177434
9;13;0.921102066
9;14;0.958383595
9;15;0.952063107
9;16;0.939514891
9;17;0.957155348
9;18;0.961672474
9;19;0.981031417
9;20;0.964399421
9;21;0.955665025
9;22;0.962296984
9;23;0.959930314
9;24;0.961458022
9;25;0.943545926
9;26;0.983367377
9;27;0.974102413
9;28;0.975352113
9;29;0.97566696
9;30;0.9771261
9;31;0.971040189
9;32;0.972655101
9;33;0.972655101
9;34;0.967875037
9;35;0.969643383
9;36;0.972558277
9;37;0.978222484
9;38;0.981076286
9;39;0.989696791
9;40;0.928039702
9;41;0.964948454
9;42;0.964948454
9;43;0.96971479
9;44;0.984145625
9;45;0.973964497
9;46;0.943234121
9;47;0.945343511
9;48;0.958145137
9;49;0.902274912
9;50;0.963006807
9;51;0.96489649
9;52;0.954518606
9;53;0.965827338
9;54;0.972255018
9;55;0.962318841
9;56;0.962532675
9;57;0.962253194
9;58;0.963841481
9;59;0.964378801
9;60;0.966714906
9;61;0.967146974
9;62;0.964958008
9;63;0.967350477
9;64;0.967946867
9;65;0.963841481
9;66;0.962684408
9;67;0.963414634
9;68;0.960887332
9;69;0.970041941
9;70;0.985583995
9;71;0.982053545
9;72;0.981065089
9;73;0.97869857
