Depart;Arriver;Cost
1;2;0.941622884
1;3;0.942172897
1;4;0.939906651
1;5;0.938156359
1;6;0.938704028
1;7;0.93987157
1;8;0.936443149
1;9;0.939323221
1;10;0.935897436
1;11;0.941245593
1;12;0.908229722
1;13;0.856038073
1;14;0.918343195
1;15;0.908767773
1;16;0.889020772
1;17;0.897682306
1;18;0.897522523
1;19;0.9377569
1;20;0.903716216
1;21;0.891876751
1;22;0.901916573
1;23;0.902879729
1;24;0.927561837
1;25;0.898636633
1;26;0.919290212
1;27;0.926956522
1;28;0.921613833
1;29;0.920023015
1;30;0.920552677
1;31;0.933411215
1;32;0.925347222
1;33;0.925347222
1;34;0.927409988
1;35;0.927409988
1;36;0.922853828
1;37;0.923611111
1;38;0.934502924
1;39;0.9466901
1;40;0.85840708
1;41;0.906429392
1;42;0.906429392
1;43;0.905498282
1;44;0.939464494
1;45;0.922093023
1;46;0.907185629
1;47;0.899703264
1;48;0.932738095
1;50;0.924868957
1;51;0.918187169
1;52;0.893653516
1;53;0.919952913
1;54;0.917824074
1;55;0.904117315
1;56;0.903389831
1;57;0.898591549
1;58;0.898428732
1;59;0.898314607
1;60;0.902644907
1;61;0.895089286
1;62;0.901519415
1;63;0.897478992
1;64;0.900729108
1;65;0.898428732
1;66;0.897363993
1;67;0.902879729
1;68;0.903463941
1;69;0.95215311
1;70;0.935389988
1;71;0.93877551
1;72;0.942420682
1;73;0.922591743
1;74;0.921928817
1;75;0.93626883
1;76;0.874632137
1;77;0.934492754
1;78;0.926969523
1;79;0.928036845
1;80;0.936032864
1;81;0.92639448
1;82;0.926969523
1;83;0.879598662
1;84;0.9375
1;85;0.93676815
1;86;0.939268868
1;87;0.942319011
1;88;0.935087719
1;89;0.931458699
1;90;0.93871538
1;91;0.938596491
1;92;0.936368943
1;93;0.934464599
1;94;0.933411215
1;95;0.933840749
1;96;0.936220012
1;97;0.930515345
1;98;0.865342163
1;99;0.870789619
1;101;0.88
1;102;0.882816901
1;104;0.858552632
1;105;0.871162281
1;106;0.865267808
1;107;0.871893981
1;108;0.89880614
1;109;0.868681319
1;110;0.879175947
1;111;0.893845285
1;112;0.878265703
1;113;0.904652499
1;114;0.916571429
1;115;0.93753683
1;116;0.942319011
1;117;0.941724942
1;118;0.887833828
1;119;0.937683715
1;120;0.914319249
1;121;0.903642773
1;122;0.869927738
1;123;0.913196481
2;3;0.998237368
2;4;0.997064005
2;5;0.994131455
2;6;0.995887192
2;7;0.995889607
2;8;0.993544601
2;9;0.996476806
2;10;0.994131455
2;11;0.977764775
2;12;0.909143519
2;13;0.854904237
2;14;0.921250724
2;15;0.909669948
2;16;0.887087435
2;17;0.920022371
2;18;0.928371572
2;19;0.965075669
2;20;0.93344519
2;21;0.917268184
2;22;0.929530201
2;23;0.925139665
2;24;0.926927503
2;25;0.894280763
2;26;0.967297762
2;27;0.951779564
2;28;0.954154728
2;29;0.954753723
2;30;0.957544464
2;31;0.945977011
2;32;0.949026346
2;33;0.949026346
2;34;0.94
2;35;0.943331425
2;36;0.948850575
2;37;0.959654179
2;38;0.965156794
2;39;0.980769231
2;40;0.866898148
2;41;0.934510251
2;42;0.934510251
2;43;0.943460879
2;44;0.972222222
2;45;0.95152914
2;46;0.893728223
2;47;0.897510133
2;48;0.920809249
2;50;0.93089663
2;51;0.934454756
2;52;0.915206331
2;53;0.936194896
2;54;0.948275862
2;55;0.929569592
2;56;0.929971989
2;57;0.929451288
2;58;0.932402235
2;59;0.933407946
2;60;0.937780269
2;61;0.938581798
2;62;0.934490482
2;63;0.937884723
2;64;0.940089586
2;65;0.932402235
2;66;0.930245536
2;67;0.93161435
2;68;0.926925239
2;69;0.942990111
2;70;0.972737819
2;71;0.967032967
2;72;0.963995354
2;73;0.960548885
2;74;0.959931311
2;75;0.978009259
2;76;0.887152778
2;77;0.977404403
2;78;0.975216138
2;79;0.975201845
2;80;0.962209302
2;81;0.975778547
2;82;0.976355248
2;83;0.909191584
2;84;0.965816918
2;85;0.964016251
2;86;0.955258571
2;87;0.960511034
2;88;0.962318841
2;89;0.955362319
2;90;0.954703833
2;91;0.964658169
2;92;0.965816918
2;93;0.961716937
2;94;0.960625362
2;95;0.95884058
2;96;0.981850117
2;97;0.972238288
2;98;0.887493173
2;99;0.900164564
2;100;0.871574422
2;101;0.899012075
2;102;0.910564561
2;103;0.871781116
2;104;0.88165038
2;105;0.900326797
