Depart;Arriver;Cost
1;2;0.974404762
1;3;0.975859988
1;4;0.976701967
1;5;0.964059197
1;6;0.972876304
1;7;0.969841744
1;8;0.974450386
1;9;0.964635958
1;10;0.96645889
1;11;0.972743792
1;12;0.939900867
1;13;0.993428913
1;14;0.976771888
1;15;0.943882245
1;16;0.964526532
1;17;0.969909436
1;18;0.970914543
1;19;0.950749465
1;20;0.965060241
1;21;0.955359854
1;22;0.970279195
1;23;0.975007351
1;24;0.991879699
1;25;0.97332543
1;26;0.974904045
1;27;0.973451327
1;28;0.977989292
1;29;0.954822955
1;30;0.976966796
1;31;0.972001179
2;3;0.974174174
2;4;0.971996387
2;5;0.961827472
2;6;0.973005043
2;7;0.970579495
2;8;0.970431697
2;9;0.964211772
2;10;0.965435746
2;11;0.97588909
2;12;0.942663379
2;13;0.975029727
2;14;0.974510966
2;15;0.944766555
2;16;0.97111176
2;17;0.970049433
2;18;0.963891376
2;19;0.951598174
2;20;0.958633094
2;21;0.951344817
2;22;0.980579624
2;23;0.967515364
2;24;0.970368153
2;25;0.973451327
2;26;0.975609756
2;27;0.975337639
2;28;0.973949082
2;29;0.958080194
2;30;0.972908604
2;31;0.973892637
3;4;0.996030534
3;5;0.965559281
3;6;0.978045113
3;7;0.968966556
3;8;0.973021583
3;9;0.966716642
3;10;0.969152441
3;11;0.97799511
3;12;0.944340213
3;13;0.978300181
3;14;0.974759615
3;15;0.953884246
3;16;0.961845608
3;17;0.962569997
3;18;0.973071104
3;19;0.958320469
3;20;0.967173252
3;21;0.95862703
3;22;0.974856104
3;23;0.967072085
3;24;0.9784522
3;25;0.970095694
3;26;0.971700923
3;27;0.967857143
3;28;0.975390156
3;29;0.963647566
3;30;0.977361908
3;31;0.966399048
4;5;0.965770171
4;6;0.975271411
4;7;0.967975831
4;8;0.972046889
4;9;0.964521948
4;10;0.968168168
4;11;0.97762795
4;12;0.940733772
4;13;0.979147779
4;14;0.971979512
4;15;0.950341403
4;16;0.960260973
4;17;0.961583924
4;18;0.971480583
4;19;0.956656347
4;20;0.965559281
4;21;0.95697603
4;22;0.972660996
4;23;0.96430696
4;24;0.97991479
4;25;0.967316342
4;26;0.968936679
4;27;0.965085049
4;28;0.972615107
4;29;0.960148285
4;30;0.975181598
4;31;0.963625522
5;6;0.979530403
5;7;0.984921592
5;8;0.97569757
5;9;0.977190876
5;10;0.976019185
5;11;0.973386357
5;12;0.944600939
5;13;0.967722474
5;14;0.965413534
5;15;0.941759603
5;16;0.959739491
5;17;0.958702065
5;18;0.964869776
5;19;0.95302843
5;20;0.960754487
5;21;0.958282209
5;22;0.961795027
5;23;0.955463183
5;24;0.968408262
5;25;0.957797067
5;26;0.95706619
5;27;0.954423592
5;28;0.966055873
5;29;0.953438175
5;30;0.963141994
5;31;0.95297619
6;7;0.988095238
6;8;0.994373704
6;9;0.97985782
6;10;0.982840237
6;11;0.97796559
6;12;0.942883606
6;13;0.97588568
6;14;0.97239537
6;15;0.94804401
6;16;0.969023963
6;17;0.970879441
6;18;0.968918111
6;19;0.952439024
6;20;0.963674572
6;21;0.953995157
6;22;0.973070018
6;23;0.964830012
6;24;0.973621103
6;25;0.967799114
6;26;0.96880518
6;27;0.965598353
6;28;0.972428106
6;29;0.957103742
6;30;0.971973763
6;31;0.964159812
7;8;0.98605755
7;9;0.978635015
7;10;0.981031417
7;11;0.979135168
7;12;0.944014847
7;13;0.974053087
7;14;0.977103776
7;15;0.941212492
7;16;0.966042155
7;17;0.964410735
7;18;0.964071856
7;19;0.951130116
7;20;0.958796992
7;21;0.956337174
7;22;0.965827338
7;23;0.963006459
7;24;0.969369369
7;25;0.968925718
7;26;0.967570755
7;27;0.964948454
7;28;0.977724978
7;29;0.954587016
7;30;0.970131422
7;31;0.963507946
8;9;0.981399469
8;10;0.978472427
8;11;0.972924188
8;12;0.938461538
8;13;0.978041543
8;14;0.973964497
8;15;0.945476698
8;16;0.970579668
8;17;0.973004354
8;18;0.967530533
8;19;0.950470981
8;20;0.962896469
8;21;0.953242836
8;22;0.970474202
8;23;0.966988022
8;24;0.976396773
8;25;0.969375736
8;26;0.970372543
8;27;0.967174678
8;28;0.973995272
8;29;0.95451789
8;30;0.970579495
8;31;0.965739385
9;10;0.989380531
9;11;0.970809509
9;12;0.936903663
9;13;0.968239834
9;14;0.968925718
9;15;0.950639854
9;16;0.967365967
9;17;0.964576074
9;18;0.97318236
9;19;0.963525836
9;20;0.969170907
9;21;0.965600483
9;22;0.96300716
9;23;0.97194623
9;24;0.967722654
9;25;0.962592047
9;26;0.964201878
9;27;0.961008502
9;28;0.969553651
9;29;0.953594177
9;30;0.967895363
9;31;0.959578207
10;11;0.973850316
10;12;0.937596065
10;13;0.97005633
10;14;0.969553651
10;15;0.947656726
10;16;0.96798603
10;17;0.965777262
10;18;0.970833333
10;19;0.958105647
10;20;0.965620329
10;21;0.961422544
10;22;0.964243147
10;23;0.970811442
10;24;0.968358209
10;25;0.963224478
10;26;0.964830012
10;27;0.961639824
10;28;0.969589607
10;29;0.951226901
10;30;0.967933492
10;31;0.96021065
11;12;0.955430006
11;13;0.976406534
11;14;0.977683957
11;15;0.947499223
11;16;0.961709706
11;17;0.95711328
11;18;0.971150926
11;19;0.961264332
11;20;0.965222697
11;21;0.961550292
11;22;0.972940103
11;23;0.96457279
11;24;0.972890649
11;25;0.969387755
11;26;0.968609865
11;27;0.965352449
11;28;0.977710843
11;29;0.961038961
11;30;0.979097243
11;31;0.963891376
12;13;0.939975248
12;14;0.946946329
12;15;0.969793323
12;16;0.929286798
12;17;0.929543393
12;18;0.951227089
12;19;0.965429749
12;20;0.958177278
12;21;0.965061379
12;22;0.948055988
12;23;0.938812785
12;24;0.938610159
12;25;0.94966237
12;26;0.942219505
12;27;0.945021381
12;28;0.945779421
12;29;0.970253165
12;30;0.945150294
12;31;0.94415624
13;14;0.982748364
13;15;0.947013783
13;16;0.965739385
13;17;0.97111176
13;18;0.973944295
13;19;0.954476016
13;20;0.969314079
13;21;0.959660297
13;22;0.969715142
13;23;0.976211454
13;24;0.990687894
13;25;0.97750148
13;26;0.97965202
13;27;0.975839717
13;28;0.983957219
13;29;0.957926829
13;30;0.976396773
13;31;0.974389167
14;15;0.952061069
14;16;0.964087591
14;17;0.965376782
14;18;0.972230517
14;19;0.95583308
14;20;0.967006599
14;21;0.962201391
14;22;0.972197309
14;23;0.976281113
14;24;0.976340222
14;25;0.988783943
14;26;0.986768597
14;27;0.983548766
14;28;0.998222749
14;29;0.964741641
14;30;0.983616324
14;31;0.982095685
15;16;0.929086538
15;17;0.932934132
15;18;0.965559656
15;19;0.978656623
15;20;0.972505406
15;21;0.97258567
15;22;0.948275862
15;23;0.946955998
15;24;0.946329426
15;25;0.948040109
15;26;0.947941889
15;27;0.945872392
15;28;0.950899665
15;29;0.98340119
15;30;0.949079755
15;31;0.944410876
16;17;0.994269341
16;18;0.95473251
16;19;0.944244604
16;20;0.949512843
16;21;0.945833333
16;22;0.960565038
16;23;0.96366782
16;24;0.964033019
16;25;0.960767219
16;26;0.960046323
16;27;0.959213191
16;28;0.965296005
16;29;0.938677834
16;30;0.964222874
16;31;0.957803468
17;18;0.958992384
17;19;0.939665472
17;20;0.954398352
17;21;0.945432977
17;22;0.960703812
17;23;0.965517241
17;24;0.96827262
17;25;0.963799595
17;26;0.964800923
17;27;0.963966561
17;28;0.966579483
17;29;0.941281669
17;30;0.96201052
17;31;0.962557604
18;19;0.97607362
18;20;0.991845364
18;21;0.982338611
18;22;0.963877182
18;23;0.971698113
18;24;0.973462002
18;25;0.965824666
18;26;0.968028419
18;27;0.965394854
18;28;0.971070683
18;29;0.96969697
18;30;0.968206359
18;31;0.963947991
19;20;0.98366718
19;21;0.990677439
19;22;0.94963145
19;23;0.954900782
19;24;0.953846154
19;25;0.948772355
19;26;0.948671498
19;27;0.946606335
19;28;0.954669912
19;29;0.974695408
19;30;0.955324357
19;31;0.945147679
20;21;0.98990517
20;22;0.957967947
20;23;0.967130589
20;24;0.968191457
20;25;0.96119403
20;26;0.962830806
20;27;0.960190137
20;28;0.965847813
20;29;0.97601476
20;30;0.962338054
20;31;0.958741466
21;22;0.949390244
21;23;0.96238806
21;24;0.958460599
21;25;0.955160999
21;26;0.954436451
21;27;0.952380952
21;28;0.961643008
21;29;0.977984496
21;30;0.955650061
21;31;0.950927588
22;23;0.965761511
22;24;0.969806763
22;25;0.974709908
22;26;0.975103734
22;27;0.974829731
22;28;0.971633323
22;29;0.95862703
22;30;0.975975976
22;31;0.973372781
23;24;0.971023063
23;25;0.974642961
23;26;0.976190476
23;27;0.974760661
23;28;0.977478795
23;29;0.95169517
23;30;0.972352941
23;31;0.973333333
24;25;0.969895678
24;26;0.971496437
24;27;0.967665381
24;28;0.977565061
24;29;0.955480504
24;30;0.973525872
24;31;0.966212211
25;26;0.990927714
25;27;0.991812865
25;28;0.987617925
25;29;0.960072595
25;30;0.980729321
25;31;0.990943617
26;27;0.995630644
26;28;0.985609398
26;29;0.961132871
26;30;0.978145304
26;31;0.994179278
27;28;0.982981221
27;29;0.95845876
27;30;0.976689289
27;31;0.998546089
28;29;0.962962963
28;30;0.984825945
28;31;0.981530343
29;30;0.961221374
29;31;0.956992481
30;31;0.975235849
