Depart;Arriver;Cost
1;13;0.989095905
1;17;0.86274616
1;23;0.877985536
2;14;0.830815149
2;16;0.787765342
2;24;0.77125691
2;28;0.829118908
3;4;0.991234861
3;10;0.768259751
3;30;0.785057416
4;10;0.76294596
4;30;0.785301163
5;6;0.848922332
5;7;0.849365301
5;8;0.762800443
5;9;0.772875776
5;11;0.841065241
5;18;0.840973617
5;20;0.760345127
6;7;0.915627288
6;8;0.872555995
6;9;0.871423971
6;10;0.832092836
6;11;0.924267863
7;8;0.874644547
7;9;0.889234898
7;10;0.845989399
7;11;0.958698854
8;9;0.953800279
8;10;0.939909136
8;11;0.880764625
8;30;0.763590139
9;10;0.939827134
9;11;0.89493203
9;30;0.757779562
10;11;0.852293983
10;30;0.795947941
12;15;0.828334761
12;19;0.785454634
13;17;0.867807616
13;23;0.883293084
14;16;0.763839398
14;24;0.751238851
14;28;0.894257875
15;19;0.895192475
15;21;0.799958797
15;29;0.833078947
16;17;0.828208932
16;23;0.781632393
16;24;0.915796964
17;23;0.848610191
17;24;0.774718888
18;20;0.871582399
18;21;0.755913109
19;20;0.759486744
19;21;0.834878698
19;29;0.846643186
20;21;0.866808907
20;29;0.803822253
21;29;0.903139134
23;24;0.791066169
25;26;0.830307103
28;30;0.791207128
