Depart;Arriver;Cost
1;2;0.950087057
1;3;0.952857985
1;4;0.954464814
1;5;0.930612245
1;6;0.947185142
1;7;0.941449275
1;8;0.950173812
1;9;0.931687715
1;10;0.935094773
1;11;0.946933962
1;13;0.98694362
1;14;0.95459837
1;16;0.931483579
1;17;0.941576858
1;18;0.943473193
1;19;0.906122449
1;20;0.932479627
1;21;0.914534884
1;22;0.942274052
1;23;0.951233505
1;24;0.983890215
1;25;0.948036952
1;26;0.951036866
1;27;0.948275862
1;28;0.956926659
1;29;0.913551402
1;30;0.95497076
1;31;0.945527523
2;3;0.949648712
2;4;0.945518453
2;5;0.926462073
2;6;0.947429232
2;7;0.942840647
2;8;0.942561746
2;9;0.93089663
2;10;0.933181039
2;11;0.952913479
2;13;0.951276102
2;14;0.950289017
2;16;0.943845718
2;17;0.941840768
2;18;0.930299539
2;19;0.907665505
2;20;0.920552677
2;21;0.907204611
2;22;0.961899179
2;23;0.93707483
2;24;0.94244186
2;25;0.948275862
2;26;0.952380952
2;27;0.951862464
2;28;0.949221004
2;29;0.919533528
2;30;0.947246377
2;31;0.949113779
3;4;0.992092457
3;5;0.933411903
3;6;0.957033549
3;7;0.939801286
3;8;0.947460595
3;9;0.935577481
3;10;0.940151075
3;11;0.956937799
3;13;0.957522124
3;14;0.950762016
3;15;0.91183432
3;16;0.926495726
3;17;0.927840909
3;18;0.947554508
3;19;0.919976289
3;20;0.936433196
3;21;0.920541495
3;22;0.950945626
3;23;0.936243538
3;24;0.957813428
3;25;0.941927991
3;26;0.944959444
3;27;0.937716263
3;28;0.951962507
3;29;0.929845422
3;30;0.955726092
3;31;0.934982739
4;5;0.933806147
4;6;0.951736315
4;7;0.93793911
4;8;0.945614035
4;9;0.931475029
4;10;0.938300349
4;11;0.956235012
4;13;0.959147425
4;14;0.945486518
4;15;0.905381431
4;16;0.923559612
4;17;0.926010245
4;18;0.944542773
4;19;0.916913947
4;20;0.933411903
4;21;0.917501473
4;22;0.946777055
4;23;0.931074095
4;24;0.960620525
4;25;0.93670151
4;26;0.939745075
4;27;0.932525952
4;28;0.9466901
4;29;0.923351159
4;30;0.951565269
4;31;0.929804373
5;6;0.959882006
5;7;0.970291147
5;8;0.95254833
5;9;0.955399061
5;10;0.953161593
5;11;0.948152563
5;13;0.937463472
5;14;0.933139535
5;16;0.922595333
5;17;0.920679887
5;18;0.932124049
5;19;0.910271547
5;20;0.924473068
5;21;0.919905771
5;22;0.926401869
5;23;0.914724275
5;24;0.938751472
5;25;0.919012062
5;26;0.917667238
5;27;0.912820513
5;28;0.9343405
5;29;0.911019446
5;30;0.928904429
5;31;0.910176236
6;7;0.976470588
6;8;0.988810365
6;9;0.960511034
6;10;0.966259453
6;11;0.956881276
6;13;0.952906977
6;14;0.94627383
6;15;0.901220221
6;16;0.939909297
6;17;0.943406904
6;18;0.939710145
6;19;0.90919674
6;20;0.929895713
6;21;0.912037037
6;22;0.947552448
6;23;0.93204983
6;24;0.948598131
6;25;0.937607327
6;26;0.939497717
6;27;0.933484935
6;28;0.946335834
6;29;0.917736289
6;30;0.945475638
6;31;0.930799773
7;8;0.972498537
7;9;0.958163858
7;10;0.962769052
7;11;0.959123223
7;13;0.949418605
7;14;0.955232558
7;16;0.934314836
7;17;0.931267606
7;18;0.930635838
7;19;0.906814211
7;20;0.920854997
7;21;0.916327716
7;22;0.933913043
7;23;0.928652322
7;24;0.940559441
7;25;0.939724455
7;26;0.937178755
7;27;0.932270916
7;28;0.956420686
7;29;0.913119534
7;30;0.94199536
7;31;0.929585463
8;9;0.963478261
8;10;0.957852194
8;11;0.947275923
8;13;0.957026713
8;14;0.949250288
8;16;0.942840973
8;17;0.947427925
8;18;0.937103289
8;19;0.905616676
8;20;0.928447778
8;21;0.910662824
8;22;0.942641947
8;23;0.936085973
8;24;0.953882078
8;25;0.940571429
8;26;0.942450142
8;27;0.936435868
8;28;0.949308756
8;29;0.912993039
8;30;0.942840647
8;31;0.933748584
9;10;0.978984238
9;11;0.943274854
9;13;0.938434983
9;14;0.939724455
9;15;0.905923345
9;16;0.936794582
9;17;0.931575996
9;18;0.947765525
9;19;0.929618768
9;20;0.94018583
9;21;0.933488915
9;22;0.928653625
9;23;0.945423536
9;24;0.93746381
9;25;0.927881885
9;26;0.930878187
9;27;0.924943567
9;28;0.940906483
9;29;0.911304348
9;30;0.937788018
9;31;0.922297297
10;11;0.949033392
10;13;0.941853771
10;14;0.940906483
10;15;0.900520532
10;16;0.937958263
10;17;0.933819405
10;18;0.943319838
10;19;0.91958042
10;20;0.933526012
10;21;0.925710969
10;22;0.930955121
10;23;0.943278503
10;24;0.938657407
10;25;0.929057889
10;26;0.93204983
10;27;0.926113931
10;28;0.940974212
10;29;0.906990179
10;30;0.937859609
10;31;0.923466517
11;12;0.914663462
11;13;0.953900709
11;14;0.956342183
11;15;0.900236128
11;16;0.926243568
11;17;0.917753829
11;18;0.943919717
11;19;0.925417661
11;20;0.932783019
11;21;0.925947867
11;22;0.947306098
11;23;0.931569868
11;24;0.947212337
11;25;0.940594059
11;26;0.939130435
11;27;0.933025404
11;28;0.956393636
11;29;0.925
11;30;0.959050445
11;31;0.930299539
12;15;0.941358025
12;18;0.906990521
12;19;0.933169834
12;20;0.919712403
12;21;0.932481752
12;22;0.901241869
12;25;0.90414962
12;29;0.942224954
13;14;0.966081871
13;16;0.933748584
13;17;0.943845718
13;18;0.949211909
13;19;0.912916423
13;20;0.940455342
13;21;0.92244898
13;22;0.94121071
13;23;0.953528399
13;24;0.981547619
13;25;0.955993052
13;26;0.960115607
13;27;0.952819333
13;28;0.968421053
13;29;0.919251024
13;30;0.953882078
13;31;0.950057405
14;15;0.908508159
14;16;0.930665163
14;17;0.933070866
14;18;0.94596165
14;19;0.915402567
14;20;0.93612079
14;21;0.927156177
14;22;0.945898778
14;23;0.953661327
14;24;0.953774137
14;25;0.977816696
14;26;0.973882763
14;27;0.967630058
14;28;0.996451804
14;29;0.931884909
14;30;0.967760844
14;31;0.964821223
15;18;0.933412604
15;19;0.958205286
15;20;0.946482261
15;21;0.946634324
15;22;0.901639344
15;25;0.901213172
15;26;0.901035673
15;28;0.906395349
15;29;0.967344424
15;30;0.903093987
16;17;0.988603989
16;18;0.913385827
16;20;0.903878583
16;22;0.92412231
16;23;0.929883139
16;24;0.93056346
16;25;0.924496644
16;26;0.923162584
16;27;0.921623124
16;28;0.932919955
16;30;0.930917327
16;31;0.919023849
17;18;0.921215532
17;20;0.912774339
17;22;0.924379233
17;23;0.933333333
17;24;0.938496583
17;25;0.930128563
17;26;0.931995541
17;27;0.930439622
17;28;0.935320585
17;30;0.926801802
17;31;0.927817879
18;19;0.953265428
18;20;0.983822648
18;21;0.965290245
18;22;0.930273097
18;23;0.944954128
18;24;0.948296122
18;25;0.933908046
18;26;0.938037866
18;27;0.933104631
18;28;0.943768116
18;29;0.941176471
18;30;0.938372093
18;31;0.93040502
19;20;0.967859309
19;21;0.981527094
19;22;0.904093567
19;23;0.913693901
19;24;0.911764706
19;25;0.902537486
19;26;0.902354968
19;28;0.913271246
19;29;0.950639854
19;30;0.91446983
20;21;0.980012114
20;22;0.919326756
20;23;0.936353211
20;24;0.938344099
20;25;0.925287356
20;26;0.928325688
20;27;0.923428571
20;28;0.933951333
20;29;0.953153153
20;30;0.927409988
20;31;0.920752566
21;22;0.903656413
21;23;0.927502877
21;24;0.920234604
21;25;0.914170507
21;26;0.912844037
21;27;0.909090909
21;28;0.926119837
21;29;0.956917476
21;30;0.915066899
21;31;0.906446092
22;23;0.933789954
22;24;0.941383353
22;25;0.950667441
22;26;0.951417004
22;27;0.950895436
22;28;0.944831591
22;29;0.920541495
22;30;0.953079179
22;31;0.948126801
23;24;0.943678161
23;25;0.95054008
23;26;0.953488372
23;27;0.950764007
23;28;0.955949657
23;29;0.907842015
23;30;0.946193475
23;31;0.948051948
24;25;0.941550926
24;26;0.944572748
24;27;0.937356322
24;28;0.956114687
24;29;0.914756026
24;30;0.948417351
24;31;0.934633028
25;26;0.982018561
25;27;0.983758701
25;28;0.97553873
25;29;0.923211169
25;30;0.962187318
25;31;0.982049797
26;27;0.991299304
26;28;0.971627099
26;29;0.925174014
26;30;0.957225434
26;31;0.988425926
27;28;0.966532025
27;29;0.920231214
27;30;0.9544406
27;31;0.9970964
28;29;0.928571429
28;30;0.97010551
28;31;0.96373057
29;30;0.925338036
29;31;0.917531719
30;31;0.951668585
